Year,Mean cumulative mass balance,Number of observations
1993,-14.695,37
1994,-15.276,37
1995,-15.486,37
1996,-15.51,37
1997,-16.46,37
1998,-17.31,37
1999,-17.697,37
2000,-17.727,37
2001,-18.032,37
2002,-18.726,37
2003,-19.984,37
2004,-20.703,37
2005,-21.405,37
2006,-22.595,37
2007,-23.255,37
2008,-23.776,37
2009,-24.459,37
2010,-25.158,37
2011,-26.294,37
2012,-26.93,36
2013,-27.817,31
2014,-28.652,24
